source_row,track,album,artist,genre,prompt_1,prompt_2,prompt_3,prompt_4,prompt_5,prompt_chain
1,Paranoid Android,OK Computer,Radiohead,Alt Rock,"Radiohead above a pale motorway map, white and icy blue washes, black typography, blurred travelers, anxious digital-collage album style","Radiohead drifting through the same frosted highway junction, cyan smears and gray shadows, small hazard icons, fragile techno-anxiety mood","Radiohead beside a blue airport sign and lost-child poster, white scratched layers, minimal black text, abstract 1990s data-collage style","Radiohead watching roads dissolve into snow-white static, soft turquoise lines, tiny figures, cold modernist cover-art atmosphere","Radiohead at the final blank exit, white space swallowing blue highways, black marks, ghosted signage, melancholy glitch-design finish","Radiohead above a pale motorway map, white and icy blue washes, black typography, blurred travelers, anxious digital-collage album style || Radiohead drifting through the same frosted highway junction, cyan smears and gray shadows, small hazard icons, fragile techno-anxiety mood || Radiohead beside a blue airport sign and lost-child poster, white scratched layers, minimal black text, abstract 1990s data-collage style || Radiohead watching roads dissolve into snow-white static, soft turquoise lines, tiny figures, cold modernist cover-art atmosphere || Radiohead at the final blank exit, white space swallowing blue highways, black marks, ghosted signage, melancholy glitch-design finish"
2,Karma Police,OK Computer,Radiohead,Alt Rock,"Radiohead above a pale motorway map, white and icy blue washes, black typography, blurred travelers, anxious digital-collage album style","Radiohead drifting through the same frosted highway junction, cyan smears and gray shadows, small hazard icons, fragile techno-anxiety mood","Radiohead beside a blue airport sign and lost-child poster, white scratched layers, minimal black text, abstract 1990s data-collage style","Radiohead watching roads dissolve into snow-white static, soft turquoise lines, tiny figures, cold modernist cover-art atmosphere","Radiohead at the final blank exit, white space swallowing blue highways, black marks, ghosted signage, melancholy glitch-design finish","Radiohead above a pale motorway map, white and icy blue washes, black typography, blurred travelers, anxious digital-collage album style || Radiohead drifting through the same frosted highway junction, cyan smears and gray shadows, small hazard icons, fragile techno-anxiety mood || Radiohead beside a blue airport sign and lost-child poster, white scratched layers, minimal black text, abstract 1990s data-collage style || Radiohead watching roads dissolve into snow-white static, soft turquoise lines, tiny figures, cold modernist cover-art atmosphere || Radiohead at the final blank exit, white space swallowing blue highways, black marks, ghosted signage, melancholy glitch-design finish"
3,Fake Plastic Trees,The Bends,Radiohead,Alt Rock,"Radiohead facing a medical mannequin in harsh close-up, peach skin tones, black void, red typography, clinical alternative-rock cover style","Radiohead under the same artificial light, wax face tilted upward, warm orange highlights, deep black background, uneasy hospital mood","Radiohead framed by a red title bar across pale synthetic skin, grainy photography, high contrast, distorted human-machine portrait","Radiohead watching the mannequin blur into amber and cream, blank eyes, black negative space, claustrophobic 1990s album aesthetic","Radiohead ending in a sterile red-and-black portrait, soft plastic texture, anxious expression, medical surrealism, worn print finish","Radiohead facing a medical mannequin in harsh close-up, peach skin tones, black void, red typography, clinical alternative-rock cover style || Radiohead under the same artificial light, wax face tilted upward, warm orange highlights, deep black background, uneasy hospital mood || Radiohead framed by a red title bar across pale synthetic skin, grainy photography, high contrast, distorted human-machine portrait || Radiohead watching the mannequin blur into amber and cream, blank eyes, black negative space, claustrophobic 1990s album aesthetic || Radiohead ending in a sterile red-and-black portrait, soft plastic texture, anxious expression, medical surrealism, worn print finish"
4,Street Spirit (Fade Out),The Bends,Radiohead,Alt Rock,"Radiohead facing a medical mannequin in harsh close-up, peach skin tones, black void, red typography, clinical alternative-rock cover style","Radiohead under the same artificial light, wax face tilted upward, warm orange highlights, deep black background, uneasy hospital mood","Radiohead framed by a red title bar across pale synthetic skin, grainy photography, high contrast, distorted human-machine portrait","Radiohead watching the mannequin blur into amber and cream, blank eyes, black negative space, claustrophobic 1990s album aesthetic","Radiohead ending in a sterile red-and-black portrait, soft plastic texture, anxious expression, medical surrealism, worn print finish","Radiohead facing a medical mannequin in harsh close-up, peach skin tones, black void, red typography, clinical alternative-rock cover style || Radiohead under the same artificial light, wax face tilted upward, warm orange highlights, deep black background, uneasy hospital mood || Radiohead framed by a red title bar across pale synthetic skin, grainy photography, high contrast, distorted human-machine portrait || Radiohead watching the mannequin blur into amber and cream, blank eyes, black negative space, claustrophobic 1990s album aesthetic || Radiohead ending in a sterile red-and-black portrait, soft plastic texture, anxious expression, medical surrealism, worn print finish"
5,Everything in Its Right Place,Kid A,Radiohead,Experimental Rock,"Radiohead before jagged white mountains, blue ice faces, black sky, red smoke, digital landscape collage with apocalyptic stillness","Radiohead moving deeper through frozen peaks, burning orange ridges behind them, gray glitches below, cold polygonal album style","Radiohead crossing an artificial alpine plain, white snow slabs, blue shadows, black ravines, distant red fire, dystopian calm","Radiohead surrounded by towering ice geometry, smoky crimson horizon, minimal text, synthetic wilderness, fragile post-digital mood","Radiohead at the last mountain ridge, white-blue cliffs fading into black, red embers overhead, bleak experimental cover atmosphere","Radiohead before jagged white mountains, blue ice faces, black sky, red smoke, digital landscape collage with apocalyptic stillness || Radiohead moving deeper through frozen peaks, burning orange ridges behind them, gray glitches below, cold polygonal album style || Radiohead crossing an artificial alpine plain, white snow slabs, blue shadows, black ravines, distant red fire, dystopian calm || Radiohead surrounded by towering ice geometry, smoky crimson horizon, minimal text, synthetic wilderness, fragile post-digital mood || Radiohead at the last mountain ridge, white-blue cliffs fading into black, red embers overhead, bleak experimental cover atmosphere"
6,Black Hole Sun,Superunknown,Soundgarden,Grunge,"Soundgarden in a black void with thermal orange faces, blurred silhouettes, inverted forest edge, white spaced lettering, occult grunge style","Soundgarden drifting under the same upside-down trees, ember-red masks glowing in darkness, monochrome ground, feverish photographic texture","Soundgarden behind molten orange shadows, black negative space swallowing the scene, white forest scratches below, haunted album-cover mood","Soundgarden as distorted heat figures over a pale treeline, red-yellow glow, deep black field, dreamlike grunge surrealism","Soundgarden fading into a superblack night, scattered orange fragments, ghostly white woods, minimal typography, ominous thermal finish","Soundgarden in a black void with thermal orange faces, blurred silhouettes, inverted forest edge, white spaced lettering, occult grunge style || Soundgarden drifting under the same upside-down trees, ember-red masks glowing in darkness, monochrome ground, feverish photographic texture || Soundgarden behind molten orange shadows, black negative space swallowing the scene, white forest scratches below, haunted album-cover mood || Soundgarden as distorted heat figures over a pale treeline, red-yellow glow, deep black field, dreamlike grunge surrealism || Soundgarden fading into a superblack night, scattered orange fragments, ghostly white woods, minimal typography, ominous thermal finish"
7,Spoonman,Superunknown,Soundgarden,Grunge,"Soundgarden in a black void with thermal orange faces, blurred silhouettes, inverted forest edge, white spaced lettering, occult grunge style","Soundgarden drifting under the same upside-down trees, ember-red masks glowing in darkness, monochrome ground, feverish photographic texture","Soundgarden behind molten orange shadows, black negative space swallowing the scene, white forest scratches below, haunted album-cover mood","Soundgarden as distorted heat figures over a pale treeline, red-yellow glow, deep black field, dreamlike grunge surrealism","Soundgarden fading into a superblack night, scattered orange fragments, ghostly white woods, minimal typography, ominous thermal finish","Soundgarden in a black void with thermal orange faces, blurred silhouettes, inverted forest edge, white spaced lettering, occult grunge style || Soundgarden drifting under the same upside-down trees, ember-red masks glowing in darkness, monochrome ground, feverish photographic texture || Soundgarden behind molten orange shadows, black negative space swallowing the scene, white forest scratches below, haunted album-cover mood || Soundgarden as distorted heat figures over a pale treeline, red-yellow glow, deep black field, dreamlike grunge surrealism || Soundgarden fading into a superblack night, scattered orange fragments, ghostly white woods, minimal typography, ominous thermal finish"
8,Smells Like Teen Spirit,Nevermind,Nirvana,Grunge,"Nirvana underwater in bright cyan blue, floating figure, dangling dollar bill, clean photographic realism, black logo, ironic grunge mood","Nirvana following the same money lure through rippling pool light, aqua gradients, suspended bubbles, sharp 1990s cover photography","Nirvana beneath a glassy surface, blue water everywhere, pale skin tones, small green bill, minimal composition, satirical pop image","Nirvana drifting in open turquoise depth, arms extended, black typography below, crisp aquatic realism, rebellious innocence","Nirvana ending in a calm blue pool, currency just out of reach, soft bubbles, stark logo, iconic grunge-album finish","Nirvana underwater in bright cyan blue, floating figure, dangling dollar bill, clean photographic realism, black logo, ironic grunge mood || Nirvana following the same money lure through rippling pool light, aqua gradients, suspended bubbles, sharp 1990s cover photography || Nirvana beneath a glassy surface, blue water everywhere, pale skin tones, small green bill, minimal composition, satirical pop image || Nirvana drifting in open turquoise depth, arms extended, black typography below, crisp aquatic realism, rebellious innocence || Nirvana ending in a calm blue pool, currency just out of reach, soft bubbles, stark logo, iconic grunge-album finish"
9,Come as You Are,Nevermind,Nirvana,Grunge,"Nirvana underwater in bright cyan blue, floating figure, dangling dollar bill, clean photographic realism, black logo, ironic grunge mood","Nirvana following the same money lure through rippling pool light, aqua gradients, suspended bubbles, sharp 1990s cover photography","Nirvana beneath a glassy surface, blue water everywhere, pale skin tones, small green bill, minimal composition, satirical pop image","Nirvana drifting in open turquoise depth, arms extended, black typography below, crisp aquatic realism, rebellious innocence","Nirvana ending in a calm blue pool, currency just out of reach, soft bubbles, stark logo, iconic grunge-album finish","Nirvana underwater in bright cyan blue, floating figure, dangling dollar bill, clean photographic realism, black logo, ironic grunge mood || Nirvana following the same money lure through rippling pool light, aqua gradients, suspended bubbles, sharp 1990s cover photography || Nirvana beneath a glassy surface, blue water everywhere, pale skin tones, small green bill, minimal composition, satirical pop image || Nirvana drifting in open turquoise depth, arms extended, black typography below, crisp aquatic realism, rebellious innocence || Nirvana ending in a calm blue pool, currency just out of reach, soft bubbles, stark logo, iconic grunge-album finish"
10,Money,The Dark Side of the Moon,Pink Floyd,Prog Rock,"Pink Floyd in a black void with a glass prism, thin white beam, rainbow spectrum, minimal geometry, clean psychedelic design","Pink Floyd following the same light through darkness, prism edges glowing silver, red yellow green blue bands, precise optical style","Pink Floyd inside a silent triangle of shadow, white ray splitting into color, black negative space, scientific album-cover mood","Pink Floyd watching the rainbow extend beyond the frame, sharp geometry, pure black field, restrained psychedelic modernism","Pink Floyd at the final color beam, prism centered, silver glow, saturated spectrum, timeless minimal rock-icon finish","Pink Floyd in a black void with a glass prism, thin white beam, rainbow spectrum, minimal geometry, clean psychedelic design || Pink Floyd following the same light through darkness, prism edges glowing silver, red yellow green blue bands, precise optical style || Pink Floyd inside a silent triangle of shadow, white ray splitting into color, black negative space, scientific album-cover mood || Pink Floyd watching the rainbow extend beyond the frame, sharp geometry, pure black field, restrained psychedelic modernism || Pink Floyd at the final color beam, prism centered, silver glow, saturated spectrum, timeless minimal rock-icon finish"
11,Time,The Dark Side of the Moon,Pink Floyd,Prog Rock,"Pink Floyd in a black void with a glass prism, thin white beam, rainbow spectrum, minimal geometry, clean psychedelic design","Pink Floyd following the same light through darkness, prism edges glowing silver, red yellow green blue bands, precise optical style","Pink Floyd inside a silent triangle of shadow, white ray splitting into color, black negative space, scientific album-cover mood","Pink Floyd watching the rainbow extend beyond the frame, sharp geometry, pure black field, restrained psychedelic modernism","Pink Floyd at the final color beam, prism centered, silver glow, saturated spectrum, timeless minimal rock-icon finish","Pink Floyd in a black void with a glass prism, thin white beam, rainbow spectrum, minimal geometry, clean psychedelic design || Pink Floyd following the same light through darkness, prism edges glowing silver, red yellow green blue bands, precise optical style || Pink Floyd inside a silent triangle of shadow, white ray splitting into color, black negative space, scientific album-cover mood || Pink Floyd watching the rainbow extend beyond the frame, sharp geometry, pure black field, restrained psychedelic modernism || Pink Floyd at the final color beam, prism centered, silver glow, saturated spectrum, timeless minimal rock-icon finish"
